topic,question,fmkorea,mlbpark,ppomppu
후보(또는 가족)의 비리,"가세연의 김건희 녹취록 공개에 대한 생각은?
A.  유권자의 알 권리를 위한 중요한 정보 공개다.
B.  선거에 영향을 미치려는 불순한 의도의 정치 공세다.
C.  사생활 침해이며, 언론의 자정 작용이 필요하다.
D.  내용의 진위 여부를 먼저 판단해야 한다.",A,B,D
후보(또는 가족)의 비리,"선거 후 '후보(또는 가족)의 비리' 문제 해결을 위해 가장 중요한 것은 무엇이라고 생각하는가?
A.  철저한 수사와 처벌
B.  제도적 개선 및 예방책 마련
C.  국민들의 감시와 비판
D.  정치권의 자정 노력",A,A,B
후보(또는 가족)의 비리,"김혜경씨의 '과잉 의전' 논란에 대해 어떻게 생각하시나요?
A. 심각한 문제이며 사퇴해야 한다.
B.  사소한 문제이며 과장되었다.
C.  후보 자질과 무관하다.
D.  윤석열 배우자 김건희씨 의혹에 집중해야 한다.",D,A,B
후보(또는 가족)의 비리,"이번 대선에서 후보의 도덕성이 투표 결정에 얼마나 중요하다고 생각하십니까?
A. 매우 중요하다.
B.  중요하지만 정책이 더 중요하다.
C.  별로 중요하지 않다.
D.  전혀 중요하지 않다.",A,A,B
정권 교체,"윤석열 후보의 어떤 점이 정권 교체에 가장 도움이 된다고 생각하십니까?
A. 여가부 폐지 공약
B. 부정부패 수사 경험
C. 안철수와의 단일화
D. 강력한 리더십",A,C,C
정권 교체,"이재명 후보의 어떤 점이 정권 교체를 어렵게 만든다고 생각하십니까?
A. 대장동 의혹
B. 친중 성향
C. 낮은 도덕성
D. 모든 것",D,A,A
정권 교체,"사전 투표에 대해 어떻게 생각하십니까?
A. 적극 참여했다.
B. 부정선거 의혹이 있다.
C. 편리한 제도다.
D. 관심 없다.",A,A,A
정권 교체,"안철수 후보의 단일화에 대해 어떻게 생각하십니까?
A. 정권교체에 큰 도움이 된다.
B. 정치적 쇼다.
C. 안철수의 정치적 야망이다.
D. 별로 관심 없다.",A,A,A
정권 교체,"윤석열 후보 교체에 대한 당신의 생각은?
A. 절대 반대, 정권 교체가 우선이다.
B. 지지율이 낮으면 교체해야 한다.
C. 홍준표로 교체해야 한다.
D. 안철수와 단일화해야 한다.",A,B,A
정권 교체,"이번 대선의 가장 중요한 이슈는 무엇이라고 생각하십니까?
A. 부동산 정책
B. 페미니즘
C. 대장동 사건
D. 정권 교체",D,D,D
정권 교체,"현재 지지하는 후보에 실망한 적이 있습니까? 그 이유는 무엇입니까?
A. 없다. 정권 교체를 위해 무조건 지지한다.
B. 있다. 페미니즘 정책에 실망했다.
C. 있다. 도덕성에 문제가 있다.
D. 있다. 정책이 부족하다.",A,C,C
정권 교체,"사전 투표에 참여하셨습니까?
A. 사전 투표 완료했다.
B. 본 투표일에 투표할 것이다.
C. 투표하지 않을 것이다.
D. 아직 결정하지 못했다.",A,B,A
정권 교체,"투표율이 정권 교체에 얼마나 영향을 미칠 것이라고 예상하십니까?
A. 큰 영향을 미칠 것이다.
B. 어느 정도 영향을 미칠 것이다.
C. 별 영향 없을 것이다.
D. 알 수 없다.",A,B,A
정권 교체,"이번 대선에서 가장 중요한 이슈는 무엇이라고 생각하십니까?
A. 페미니즘
B. 부동산 정책
C. 정권 교체
D. 경제 성장",C,C,C
정권 교체,"현 정권에 대한 당신의 평가는?
A. 매우 잘하고 있다.
B. 잘하고 있는 부분도 있고 못하는 부분도 있다.
C. 매우 못하고 있다.
D. 관심 없다.",C,C,C
정권 교체,"현재 대선 판세를 어떻게 예측하십니까?
A. 윤석열 후보의 승리가 확실하다.
B. 이재명 후보의 승리가 확실하다.
C. 초접전 양상이다.
D. 예측하기 어렵다.",A,C,C
정권 교체,"윤석열 후보에 대한 당신의 생각은?
A. 무조건 지지한다. 정권교체가 최우선이다.
B. 지지하지만 불안한 점도 있다.
C. 지지하지 않는다. 다른 후보를 지지한다.
D. 관심 없다.",B,B,A
정권 교체,"정권교체가 된다면 가장 바라는 것은?
A. 부동산 정책 변화
B. 경제 활성화
C. 적폐 청산
D. 외교 안보 강화",C,C,B
통합 정치,"안철수 단일화에 대해 어떻게 생각하시나요?
A. 단일화는 신의 한 수였다.
B. 단일화는 마이너스였다.
C. 단일화 효과는 미미하다.
D. 단일화는 필요 없었다.",A,A,B
통합 정치,"이준석의 역할에 대해 어떻게 평가하시나요?
A. 선거에 큰 도움이 되었다.
B. 선거에 방해가 되었다.
C. 별 영향이 없었다.
D. 오히려 독이 되었다.",A,A,B
통합 정치,"현재 지지하는 후보에게 가장 큰 약점은 무엇이라고 생각하나요?
A. 도덕성 부족
B. 정책 부족
C. 소통 부족
D. 리더십 부족",B,A,A
통합 정치,"투표 참여에 대한 당신의 생각은?
A. 반드시 투표해야 한다.
B. 투표는 개인의 선택이다.
C. 투표해도 바뀌는 것은 없다.
D. 투표할 필요성을 못 느낀다.",A,A,A
통합 정치,"확진자 투표에 대해 어떻게 생각하시나요?
A. 선거 조작 가능성이 높다.
B. 투표율에 큰 영향을 미칠 것이다.
C. 확진자도 투표권을 행사해야 한다.
D. 시간 제한을 풀어야 한다.",B,B,A
통합 정치,"윤석열의 토론 능력은 어떤가요?
A. 잘한다.
B. 못한다.
C. 준비가 부족하다.
D. 보고 읽는 정도가 심하다.",A,B,D
통합 정치,"호남 지역의 투표 결과에 대해 어떻게 예상하시나요?
A. 이재명 압승.
B. 윤석열에게 기회가 있다.
C. 예측 불가능.
D. 이재명 지지율이 낮을 것.",A,A,A
통합 정치,"이준석의 선거운동 기간 중 역할은 어떻게 평가하는가?
A. 적극적이고 효과적이었다.
B. 미흡하고 아쉬웠다.
C. 오히려 악영향을 미쳤다.
D. 잘 모르겠다.",A,C,B
통합 정치,"김건희 관련 논란에 대한 생각은?
A. 큰 문제라고 생각한다.
B. 별 문제 아니라고 생각한다.
C. 민주당의 공격이 과하다.
D. 잘 모르겠다.",C,A,A
통합 정치,"2030 세대의 정치 참여에 대한 당신의 생각은?
A. 2030의 지지는 중요하지만, 결국 선거는 어르신들이 결정한다.
B. 2030은 취업, 여가부 폐지 등에만 관심 있는 한줌단이다.
C. 2030의 정치 참여는 긍정적이며, 국힘을 지지하는 2030이 많아지길 바란다.
D. 2030은 중요한 유권자층이며, 그들의 의견을 존중해야 한다.",B,C,D
통합 정치,"이번 대선 결과에 가장 큰 영향을 미친 요인은 무엇이라고 생각하십니까?
A. 단일화 실패
B. 사전투표 논란
C. 후보자의 자질 및 공약
D. 언론의 보도",C,A,B
통합 정치,"이번 대선 토론에 대한 당신의 평가는?
A. 이재명은 말만 잘하고 실속이 없다. 윤석열은 시원시원하게 잘했다.
B. 토론은 의미 없고, 난장판이었다. 안철수만 정책을 이해하는 것 같았다.
C. 이재명은 토론에서 레전드 망언을 연발했다.
D. 이재명은 잘했지만, 윤석열의 실수가 더 주목받았다.",C,A,B
통합 정치,"현재 한국 정치에서 가장 시급한 과제는 무엇이라고 생각하시나요?
A. 정치 개혁 및 부패 방지
B. 경제 성장 및 일자리 창출
C. 통합과 화합
D. 공정과 상식",D,A,C
여성가족부 폐지,"여성가족부 폐지에 대한 윤석열 후보의 입장 변화에 대해 어떻게 생각하시나요?
A. 이준석 효과로 정신 차린 것 같다.
B. 선거 전략일 뿐, 진심이 아니다.
C. 원래부터 폐지에 찬성했지만, 시기가 안 좋았다.
D. 관심 없다.",A,B,B
여성가족부 폐지,"여성가족부 폐지가 20대 남성 표심에 어떤 영향을 미칠 것이라고 생각하시나요?
A. 결정적인 영향을 미칠 것이다.
B. 별 영향 없을 것이다.
C. 오히려 반감을 살 수도 있다.
D. 20대 남성은 여가부 폐지에 관심 없다.",A,A,B
여성가족부 폐지,"여성가족부 폐지 후 어떤 대안이 필요하다고 생각하시나요?
A. 결혼, 출산 관련 부서 신설
B. 다른 부처로 업무 이관
C. 여성 인권 보호를 위한 새로운 기구 설립
D. 대안은 필요 없다.",A,B,C
여성가족부 폐지,"여성가족부 폐지에 대한 본인의 입장은 무엇인가요?
A. 적극 찬성한다.
B. 찬성하지만, 대안이 필요하다.
C. 반대한다.
D. 관심 없다.",A,A,C
여성가족부 폐지,"여성가족부 폐지에 대한 윤석열 후보의 입장은?
A. 폐지 후 양성평등가족부 신설  
B. 조건부 폐지
C. 완전 폐지
D. 입장 유보",C,C,A
여성가족부 폐지,"여성가족부 폐지에 대한 이재명 후보의 입장은?
A. 강력히 찬성하며, 폐지를 공약으로 내세웠다.
B. 조건부 찬성하며, 대안을 마련해야 한다고 주장한다.
C. 반대하며, 여성 인권 보호를 위해 필요하다고 주장한다.
D. 애매한 입장을 취하며, 상황에 따라 바뀔 수 있다.",D,C,C
여성가족부 폐지,"여성가족부 폐지에 대한 안철수 후보의 입장은?
A. 폐지에 찬성한다.
B. 폐지에 반대한다.
C. 여성가족부의 기능 개편을 주장한다.
D. 명확한 입장을 밝히지 않았다.",A,C,C
여성가족부 폐지,"이준석의 여성가족부 폐지 관련 행보에 대해 어떻게 평가하시나요?
A. 옳은 방향으로 이끌었다.
B. 정치적으로 이용했다.
C. 과한 발언이 문제였다.
D. 관심 없다.",A,A,A
여성가족부 폐지,"여성가족부 폐지에 대한 여초 커뮤니티의 반응은 어떤 것 같나요?
A. 대부분 반대한다.
B. 대부분 찬성한다.
C. 무관심하거나 둘 다 싫어한다.
D. 잘 모르겠다.",C,A,A
여성가족부 폐지,"안철수 후보의 단일화 결렬이 여성가족부 폐지 공약에 어떤 영향을 미칠 것이라고 생각하시나요?
A. 긍정적인 영향을 미칠 것이다.
B. 부정적인 영향을 미칠 것이다.
C. 큰 영향 없을 것이다.
D. 예측하기 어렵다.",C,C,B
